Time(s),Modified_BPM
15.0,13.398274422488171
17.0,14.285714285714285
21.0,14.236804564907274
23.0,14.599728629579381
25.0,13.802816901408455
27.0,12.005689900426745
29.0,13.764772087788408
31.0,19.605336297943296
33.0,14.65615656428377
35.0,13.774275260343373
37.0,18.59696641386782
39.0,12.90375651220181
41.0,15.03709810387469
43.0,13.774275260343373
45.0,15.036496350364963
47.0,14.64203233256351
49.0,17.53127606338615
51.0,13.783783783783782
53.0,13.793297662630245
55.0,17.541713014460512
57.0,13.361134278565473
59.0,14.168564920273347
61.0,13.314825097168239
63.0,12.467532467532465
65.0,12.439446366782008
67.0,17.910699241786013
69.0,10.8641975308642
71.0,11.267370761534185
73.0,16.824877250409166
75.0,11.29346314325452
77.0,11.284760845383762
79.0,12.942898975109813
81.0,12.448802999711567
83.0,16.27082213863514
85.0,15.172413793103445
87.0,12.533256217466743
89.0,13.670033670033668
91.0,15.446205170975809
93.0,13.398274422488171
95.0,14.236804564907274
97.0,13.370411568409345
99.0,15.416666666666664
101.0,13.707865168539328
103.0,16.935704514363884
105.0,14.812341504649197
107.0,13.815358931552586
109.0,13.761904761904763
111.0,16.576069301570108
113.0,15.53127606338615
115.0,15.446205170975809
117.0,14.013605442176868
119.0,14.403669724770644
121.0,14.486283569159689
123.0,14.945869749083734
125.0,14.70213996529786
127.0,14.29900332225914
129.0,13.575825405707889
131.0,15.182119205298015
133.0,15.996612083568607
135.0,13.97629796839729
137.0,13.688938798427849
139.0,13.259955752212385
141.0,13.91746749576032
143.0,13.25942350332594
145.0,15.205430932703656
147.0,13.441200324412002
149.0,13.29346314325452
151.0,13.416666666666664
153.0,14.524776604386673
155.0,14.525974025974023
157.0,16.609120521172635
159.0,14.960227272727273
161.0,13.802816901408455
163.0,15.038137472283812
165.0,14.324076645376287
167.0,15.426507363156432
169.0,15.446205170975809
171.0,16.793297662630245
173.0,15.108751062022087
175.0,15.734304932735427
177.0,15.35773710482529
179.0,14.446205170975809
181.0,13.123966942148762
183.0,14.057692307692307
185.0,15.426507363156432
187.0,15.347934571666201
189.0,13.456062291434925
191.0,13.387177352206493
193.0,13.714285714285715
195.0,13.35773710482529
197.0,14.885245901639344
199.0,16.520844913841024
201.0,15.91549295774648
203.0,17.53127606338615
205.0,16.314440330390205
207.0,14.65615656428377
209.0,16.78474114441417
211.0,15.456062291434925
213.0,16.644951140065146
215.0,15.416666666666664
217.0,15.704284514141698
219.0,14.979423868312757
221.0,16.13945578231293
223.0,15.446205170975809
225.0,15.895270270270267
227.0,11.065088757396452
229.0,14.03289846851957
231.0,14.178296781543722
233.0,11.172069825436413
235.0,17.53127606338615
237.0,14.652035807103665
